COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H],8.397940008672037
Fc1ccc2cc([nH]c2c1)C(=O)C(=O)On1nnc2ccccc12,7.853871964321762
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CNC(=O)c1ccccc1C#N,7.769551078621726
CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,7.698970004336019
CCCC[C@H](NC(=O)c1cc2c(OC)cccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.698970004336019
CC(C)(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.698970004336019
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.638272163982407
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.6020599913279625
Clc1cncc(OC(=O)c2cccc3[nH]ccc23)c1,7.522878745280337
CC(C)C[C@H](NC(=O)c1nc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,7.494850021680094
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H],7.494850021680094
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CCC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.468521082957745
COCC(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CCC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,7.443697499232712
CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.42021640338319
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C=O,7.301029995663981
Brc1cncc(OC(=O)c2ccco2)c1,7.301029995663981
COCC(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,7.292429823902063
Cn1ccc(CN(C(=O)Cn2nnc3ccccc23)c2ccc(cc2)-c2ccccc2)c1,7.292429823902063
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccc(cc1)C#N,7.275724130399211
COCC(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,7.267606240177032
CN(C)c1ccc(cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O,7.221848749616356
Clc1cncc(OC(=O)c2ccco2)c1,7.221848749616356
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,7.221848749616356
CN(C)c1ccc(cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O,7.221848749616356
Clc1ccc(cc1)-c1ccc(o1)C(=O)Oc1cncc(Cl)c1,7.200659450546418
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1c[nH]cn1)C=O,7.187086643357144
Clc1cncc(OC(=O)c2cc3ccccc3[nH]2)c1,7.187086643357144
CC(C)C[C@@H](NC(=O)OC1CCC(F)(F)CC1)C(=O)N[C@H](CC1CCNC1=O)C(O)S([O-])(=O)=O,7.154901959985743
COc1ccc(cc1)C(=O)OCC(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,7.102372908709558
CC(C)C[C@@H](NC(=O)OC1CCC(F)(F)CC1)C(=O)N[C@H](CC1CCNC1=O)C=O,7.096910013008056
CC(C)C[C@@H](NC(=O)OCC1CCC(F)(F)CC1)C(=O)N[C@H](CC1CCNC1=O)C(O)S([O-])(=O)=O,7.096910013008056
Clc1cncc(OC(=O)c2cccc3cc[nH]c23)c1,7.096910013008056
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccc(C)cc1,7.086186147616283
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccccc1,7.0655015487564325
CC(C)(C)C[C@H](NC(=O)[C@H]1CCCO1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,7.040958607678906
Clc1cncc(OC(=O)c2cc3ccccc3s2)c1,7.022276394711152
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C=O,7.008773924307505
C[C@H](NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@@H](Cc1c[nH]cn1)C=O,7.008773924307505
